Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank
"['jazz saxophone', 'contemporary post-bop', 'jazz', 'bebop', 'hard bop']",1962,66
"['rockabilly', 'doo-wop', 'rock-and-roll']",1962,67
"['merseybeat', 'rock-and-roll']",1962,68
['deep adult standards'],1962,69
"['classic soul', 'soul', 'motown']",1962,70
"['rhythm and blues', 'classic soul', 'southern soul', 'motown']",1962,71
"['classic girl group', 'doo-wop', 'rock-and-roll']",1962,72
"['easy listening', 'lounge', 'rockabilly', 'adult standards']",1962,73
['deep adult standards'],1962,74
"['rock-and-roll', 'swamp pop', 'doo-wop', 'rhythm and blues']",1962,75
"['canadian pop', 'easy listening', 'adult standards']",1962,76
"['metropopolis', 'pov: indie', 'uk alternative pop', 'pop']",1962,77
['nashville sound'],1962,78
[],1962,79
[],1962,80
['traditional country'],1962,81
['american folk revival'],1962,82
"['easy listening', 'space age pop']",1962,83
"['doo-wop', 'rhythm and blues']",1962,84
"['nashville sound', 'classic country pop']",1962,85
"['rockabilly', 'doo-wop', 'rock-and-roll']",1962,86
"['outlaw country', 'classic texas country']",1962,87
"['doo-wop', 'rhythm and blues']",1962,88
[],1962,89
"['classic soul', 'doo-wop', 'philly soul', 'classic girl group', 'motown', 'rhythm and blues', 'southern soul']",1962,90
"['soul jazz', 'contemporary post-bop', 'jazz', 'bebop', 'hammond organ', 'jazz funk', 'jazz blues', 'jazz organ']",1962,91
"['jazz saxophone', 'jazz blues', 'soul jazz']",1962,92
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop']",1962,93
[],1962,94
"['american folk revival', 'folk']",1962,95
[],1962,96
"['rock-and-roll', 'adult standards', 'rockabilly', 'merseybeat', 'brill building pop']",1962,97
"['folk rock', 'singer-songwriter', 'soft rock', 'american folk revival', 'folk', 'mellow gold']",1962,98
[],1962,99
"['folk rock', 'rock', 'psychedelic rock', 'classic rock', 'mellow gold', 'sunshine pop', 'baroque pop']",1962,100
"['folk rock', 'rock', 'psychedelic rock', 'classic rock', 'mellow gold', 'sunshine pop', 'baroque pop']",1963,1
['nashville sound'],1963,2
['brill building pop'],1963,3
"['classic girl group', 'doo-wop', 'brill building pop', 'rock-and-roll']",1963,4
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop', 'easy listening']",1963,5
"['doo-wop', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",1963,6
"['soul', 'motown']",1963,7
['karaoke'],1963,8
"['classic girl group', 'brill building pop']",1963,9
['enka'],1963,10
"['doo-wop', 'philly soul', 'motown', 'rhythm and blues', 'beach music']",1963,11
"['folk rock', 'singer-songwriter', 'soft rock', 'american folk revival', 'folk', 'mellow gold']",1963,12
"['folk rock', 'singer-songwriter', 'soft rock', 'american folk revival', 'folk', 'mellow gold']",1963,13
['surf music'],1963,14
"['easy listening', 'adult standards']",1963,15
[],1963,16
['karaoke'],1963,17
"['lounge', 'doo-wop', 'rock-and-roll', 'northern soul', 'adult standards', 'rockabilly', 'bubblegum pop']",1963,18
['northern soul'],1963,19
[],1963,20
['surf music'],1963,21
"['folk rock', 'doo-wop', 'rock-and-roll', 'surf music', 'classic garage rock', 'rockabilly', 'bubblegum pop', 'merseybeat', 'sunshine pop']",1963,22
"['classic girl group', 'bubblegum pop', 'brill building pop']",1963,23
[],1963,24
"['doo-wop', 'rhythm and blues']",1963,25
"['soul', 'classic girl group', 'classic soul', 'motown']",1963,26
"['doo-wop', 'rhythm and blues']",1963,27
['american folk revival'],1963,28
[],1963,29
[],1963,30
"['classic girl group', 'rhythm and blues']",1963,31
"['rockabilly', 'doo-wop', 'rock-and-roll']",1963,32
['rhythm and blues'],1963,33
"['rhythm and blues', 'classic soul', 'doo-wop', 'motown']",1963,34
"['rock-and-roll', 'classic girl group', 'brill building pop', 'motown']",1963,35
"['classic girl group', 'doo-wop', 'rhythm and blues']",1963,36
"['classic soundtrack', 'easy listening', 'adult standards']",1963,37
"['chicago soul', 'northern soul']",1963,38
"['lounge', 'doo-wop', 'rock-and-roll', 'northern soul', 'adult standards', 'rockabilly', 'bubblegum pop']",1963,39
[],1963,40
['nashville sound'],1963,41
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'bubblegum pop', 'easy listening']",1963,42
"['southern soul', 'rhythm and blues']",1963,43
"['classic garage rock', 'doo-wop', 'bubblegum pop', 'merseybeat']",1963,44
"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1963,45
"['classic girl group', 'doo-wop', 'rock-and-roll']",1963,46
"['doo-wop', 'rock-and-roll', 'classic girl group', 'motown', 'soul']",1963,47
"['texas blues', 'blues', 'british blues', 'electric blues', 'modern blues']",1963,48
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1963,49
"['jazz guitar', 'soul jazz', 'jazz', 'bebop', 'jazz brass', 'jazz trombone', 'straight-ahead jazz', 'space age pop']",1963,50
['nashville sound'],1963,51
"['easy listening', 'lounge', 'rockabilly', 'adult standards']",1963,52
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1963,53
[],1963,54
"['vocal jazz', 'easy listening', 'lounge', 'adult standards']",1963,55
"['classic soul', 'quiet storm', 'motown', 'rhythm and blues', 'soul']",1963,56
['classic girl group'],1963,57
['karaoke'],1963,58
"['lounge', 'swing', 'adult standards', 'vocal jazz', 'soul']",1963,59
"['classic soul', 'chicago soul', 'soul', 'rock-and-roll']",1963,60
"['classic soul', 'quiet storm', 'northern soul', 'motown', 'neo soul', 'soul']",1963,61
[],1963,62
['nashville sound'],1963,63
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'soul']",1963,64
"['easy listening', 'adult standards']",1963,65
['chicago soul'],1963,66
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'brill building pop']",1963,67
"['classic girl group', 'sunshine pop']",1963,68
"['rock', 'outlaw country', 'arkansas country']",1963,69
['northern soul'],1963,70
['comic'],1963,71
"['classic girl group', 'bubblegum pop', 'brill building pop']",1963,72
['novelty'],1963,73
"['rock-and-roll', 'rockabilly', 'doo-wop', 'adult standards']",1963,74
[],1963,75
"['rockabilly', 'doo-wop', 'rock-and-roll']",1963,76
"['lounge', 'swing', 'adult standards', 'vocal jazz', 'soul']",1963,77
"['vocal jazz', 'classic soul', 'soul']",1963,78
"['easy listening', 'adult standards']",1963,79
"['easy listening', 'adult standards']",1963,80
"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1963,81
[],1963,82
"['soul', 'classic girl group', 'classic soul', 'motown']",1963,83
"['classic soul', 'doo-wop', 'philly soul', 'classic girl group', 'motown', 'rhythm and blues', 'southern soul']",1963,84
"['classic soul', 'quiet storm', 'funk', 'chicago soul', 'soul']",1963,85
"['folk rock', 'rock', 'psychedelic rock', 'classic rock', 'mellow gold', 'sunshine pop', 'baroque pop']",1963,86
"['classic girl group', 'doo-wop', 'brill building pop', 'rock-and-roll']",1963,87
"['rockabilly', 'doo-wop', 'rock-and-roll']",1963,88
['space age pop'],1963,89
"['american folk revival', 'folk']",1963,90
